,Shannon Entropy
QNRG Base Entropy,1.7416339815946673
Q-Hadamard Entropy,1.6316401165551488
Q-X Entropy,1.7416339815946673
Q-Z Entropy,1.7416339815946673
Q-Entanglement Entropy,1.7416339815946673
