,Shannon Entropy
Q-Hadamard Base,1.0591020318542999
Q-Hadamard + Chance Bias,1.1120372980047386
Q-Hadamard + Entanglement Weight,1.325511703059048
Q-Hadamard + Adaptive Walsh,0.8733793137772305
